model,roc_auc,pr_auc,accuracy@0.5,precision@0.5,recall@0.5,f1@0.5
LightGBM (val),0.6608991944948938,0.34570201733694883,0.7816777041942605,0.5324324324324324,0.015293843645679683,0.029733605010942573
RandomForest (val),0.5873998192929073,0.27359374695924316,0.7327899473594838,0.30517264910604613,0.1735890070646689,0.221298495645289
